Date,SOLVPN,COPPER,DXY,UST10Y,VIX,dlog_SOLVPN,dlog_COPPER,dlog_DXY,dlog_VIX,d_UST10Y
2020-10-13,995.11,3.0445,93.536,0.729,26.07,-0.004901995170231821,-0.006384567811853037,0.004629241014521668,0.03911331577520816,-0.03500000000000003
2020-10-14,981.9,3.0505,93.366,0.727,26.4,-0.013363813636660282,0.0019688275432783175,-0.001819135663407856,0.01257878220686015,-0.0020000000000000018
2020-10-15,981.37,3.0855,93.864,0.739,26.97,-0.0005399155621743645,0.011408207169214535,0.0053196728558946305,0.021361126999368096,0.01200000000000001
2020-10-16,986.19,3.0675,93.679,0.749,27.41,0.0048994791944974025,-0.0058508211760552875,-0.00197288152589703,0.01618277316305594,0.010000000000000009
2020-10-19,981.23,3.086,93.429,0.772,29.18,-0.0050421470842740845,0.006012856338039718,-0.0026722550480977603,0.06257563277994516,0.02300000000000002
2020-10-20,982.46,3.148,93.051,0.786,29.35,0.0012527437231542038,0.019891576614187834,-0.0040540596065516965,0.005809003179465755,0.014000000000000012
2020-10-21,982.0,3.1985,92.599,0.821,28.65,-0.0004683220919821096,0.015914619352898507,-0.004869387483021903,-0.024139103113356875,0.03499999999999992
2020-10-22,967.55,3.1535,92.964,0.861,28.11,-0.014824205199309048,-0.014169002786486473,0.0039339789800116876,-0.01902805824230791,0.040000000000000036
2020-10-23,968.39,3.129,92.765,0.841,27.55,0.0008677955439884144,-0.007799482434823757,-0.002142907958925022,-0.020122849319517133,-0.020000000000000018
2020-10-26,965.58,3.0895,93.044,0.803,32.46,-0.0029059416406864713,-0.01270419916784804,0.00300308606882016,0.1640060264875216,-0.03799999999999992
2020-10-27,959.25,3.0935,92.927,0.771,33.35,-0.006577227931396479,0.001293870470009395,-0.0012582608625688607,0.027049210275187807,-0.03200000000000003
2020-10-28,937.41,3.064,93.409,0.774,40.28,-0.023030975890791616,-0.009581884110561711,0.005173461650444189,0.1887972954887287,0.0030000000000000027
2020-10-29,936.67,3.06,93.977,0.831,37.59,-0.0007897208640601505,-0.0013063359140554898,0.00606237114416075,-0.06911701027427508,0.05699999999999994
2020-10-30,922.54,3.0515,94.042,0.874,38.02,-0.015200296963960191,-0.0027816429618767735,0.0006914195117460054,0.01137427948419667,0.04300000000000004
2020-11-02,931.45,3.081,94.145,0.852,37.13,0.00961177632746768,0.009620946612118209,0.0010946559569484648,-0.02368706887129468,-0.02200000000000002
2020-11-03,944.82,3.0935,93.56,0.896,35.55,0.014251921424655478,0.004048916374375766,-0.006233205232413219,-0.04348511193973881,0.04400000000000004
2020-11-04,968.24,3.1095,93.411,0.771,29.57,0.024485557269975367,0.005158805572900382,-0.0015938303966072098,-0.18417982238486408,-0.125
2020-11-05,983.68,3.1135,92.516,0.766,27.58,0.015820650479827947,0.0012855537685627638,-0.009627508786118177,-0.06966946149923015,-0.0050000000000000044
2020-11-06,993.95,3.157,92.225,0.82,24.86,0.010386262670353474,0.01387471424548492,-0.0031503590505135293,-0.10383078628259046,0.05399999999999994
2020-11-09,963.54,3.1595,92.715,0.924,25.75,-0.03107290127907536,0.0007915776555182941,0.005299028296606778,0.035174541027179984,0.10400000000000009
